hotspot_id,hotspot_name,police_station,latitude,longitude,pcis_score,drift_score,severity_norm,repeat_offender_density_norm,priority_score,priority_band,rank_city,rank_station
U-47c66732,Unknown Hotspot U-0106,Bellandur,12.9101093,77.6862797,44.34,0.0,54.0762,2.7502,28.9638,Medium,424,11
U-d4130175,Unknown Hotspot U-0356,Banaswadi,12.9926487,77.6517375,60.41,0.0,17.8003,7.7922,28.8929,Medium,425,6
U-8b787a99,Unknown Hotspot U-0232,Chikkabanavara,13.0502388,77.5077454,49.85,0.0,44.6696,0.0,28.8739,Medium,426,3
U-86ae0ba5,Unknown Hotspot U-0185,Jalahalli,13.0489388,77.5476641,58.05,0.0,28.22,0.0,28.864,Medium,427,8
U-191d523b,Unknown Hotspot U-0063,Jalahalli,13.0459332,77.5222751,43.71,0.0,56.5364,0.0,28.7913,Medium,428,9
U-5febb294,Unknown Hotspot U-0367,K.R. Pura,13.0131563,77.6992312,55.35,0.0,31.9826,1.2987,28.7313,Medium,429,10
U-bf482503,Unknown Hotspot U-0294,Mahadevapura,12.9936064,77.7172537,48.44,0.0,43.9942,3.4632,28.6943,Medium,430,12
U-762e783a,Unknown Hotspot U-0236,HSR Layout,12.9229498,77.6514997,40.99,0.0,58.0318,4.329,28.6517,Medium,431,8
U-0e0b3934,Unknown Hotspot U-0348,Mico Layout,12.924071,77.6095016,52.83,0.0,36.0026,2.0779,28.6442,Medium,432,10
N-51107403,BTP126 - Dairy Circle,Wilson Garden,12.9373618,77.5999048,51.83,0.0,37.7392,2.1251,28.5986,Medium,433,11
U-3570bf54,Unknown Hotspot U-0237,K.G. Halli,13.0419605,77.6136467,52.15,0.0,38.6236,0.0,28.5847,Medium,434,3
N-97f5d91a,BTP010 - Rajajinagar Entrance,Sheshadripuram,12.9827114,77.5630967,47.23,0.0,40.521,10.3896,28.5546,Medium,435,7
U-a670f33d,Unknown Hotspot U-0349,R.T. Nagar,13.0013873,77.5953911,48.02,0.0,45.6665,1.4168,28.5538,Medium,436,6
U-9176fd91,Unknown Hotspot U-0355,Banaswadi,12.9911278,77.6570178,57.85,0.0,21.0484,7.7922,28.5185,Medium,437,7
U-7b11c593,Unknown Hotspot U-0112,Basavanagudi,12.9379397,77.557325,58.47,0.0,23.5568,2.0779,28.4111,Medium,438,6
U-35902f49,Unknown Hotspot U-0209,HAL Old Airport,12.9697503,77.7004333,47.65,0.0,37.8839,11.6883,28.39,Medium,439,11
U-a244485b,Unknown Hotspot U-0370,HAL Old Airport,12.9400433,77.6927055,63.69,0.0,5.7726,11.6883,28.3838,Medium,440,12
